ticker,trade_type,shares,direction,current_weight,target_weight,delta_weight,trade_value_usd,close,sector,regime,run_date
EXE,buy,25,BUY,0.0476,0.05,0.0024,2503.28,97.36,Energy,recovery,2026-05-22
EQT,buy,43,BUY,0.0476,0.05,0.0024,2483.86,57.3,Energy,recovery,2026-05-22
APA,buy,102,BUY,0.0461,0.05,0.0039,3965.8,38.815,Energy,recovery,2026-05-22
NEM,buy,481,BUY,0.0,0.05,0.05,51475.36,106.88,Materials,recovery,2026-05-22
CNC,buy,31,BUY,0.0482,0.05,0.0018,1831.04,58.96,Healthcare,recovery,2026-05-22
UNH,buy,84,BUY,0.0184,0.05,0.0316,32573.61,385.75,Healthcare,recovery,2026-05-22
IBKR,buy,611,BUY,0.0,0.05,0.05,51475.36,84.1725,Financials,recovery,2026-05-22
TKO,buy,223,BUY,0.0,0.0417,0.0417,42981.41,192.57,Communication Services,recovery,2026-05-22
LULU,sell,19,SELL,0.0525,0.05,-0.0025,-2523.04,126.7568,Consumer Discretionary,recovery,2026-05-22
ALL,buy,237,BUY,0.0,0.05,0.05,51475.36,216.33,Financials,recovery,2026-05-22
DLTR,buy,16,BUY,0.0,0.0016,0.0016,1632.89,96.1,Consumer Staples,recovery,2026-05-22
DECK,sell,302,SELL,0.0537,0.0234,-0.0303,-31161.12,102.9732,Consumer Discretionary,recovery,2026-05-22
FCX,buy,829,BUY,0.0,0.05,0.05,51475.36,62.05,Materials,recovery,2026-05-22
ADBE,buy,209,BUY,0.0,0.05,0.05,51475.36,245.32,Technology,recovery,2026-05-22
MU,buy,18,BUY,0.0366,0.05,0.0134,13783.75,753.8322,Technology,recovery,2026-05-22
PAYX,sell,131,SELL,0.0512,0.0389,-0.0123,-12676.0,96.5012,Industrials,recovery,2026-05-22
SNDK,sell,24,SELL,0.0505,0.015,-0.0355,-36527.76,1485.16,Technology,recovery,2026-05-22
KHC,sell,2160,SELL,0.0499,0.0,-0.0499,-51332.4,23.765,,recovery,2026-05-22
MET,sell,620,SELL,0.0513,0.0,-0.0513,-52786.8,85.14,,recovery,2026-05-22
VZ,sell,186,SELL,0.0087,0.0,-0.0087,-8989.79,48.3322,,recovery,2026-05-22
EA,sell,88,SELL,0.0172,0.0,-0.0172,-17723.2,201.4,,recovery,2026-05-22
UAL,sell,413,SELL,0.04,0.0,-0.04,-41211.63,99.545,,recovery,2026-05-22
