ticker,trade_type,direction,shares,current_weight,target_weight,trade_value_usd
CMCSA,buy,BUY,1873,0.0,0.05,50936.72
EQT,buy,BUY,231,0.0367,0.05,13553.11
SYF,buy,BUY,665,0.0,0.05,50936.72
DLTR,buy,BUY,246,0.0,0.0231,23529.68
PFG,sell,SELL,56,0.0556,0.05,-5739.76
NEM,buy,BUY,287,0.0,0.0311,31644.9
ACGL,buy,BUY,15,0.0486,0.05,1462.4
LULU,buy,BUY,198,0.0,0.0264,26905.82
MET,sell,SELL,21,0.0517,0.05,-1762.6
BBY,buy,BUY,25,0.0,0.0015,1545.19
TPR,buy,BUY,90,0.0,0.0129,13132.88
FCX,buy,BUY,347,0.0,0.0196,19923.09
GDDY,buy,BUY,126,0.0,0.0104,10627.74
CTVA,buy,BUY,125,0.0,0.01,10169.73
KHC,sell,SELL,82,0.0518,0.05,-1875.82
CF,buy,BUY,26,0.0095,0.0128,3302.76
WTW,buy,BUY,36,0.0,0.0094,9583.02
BR,buy,BUY,229,0.0,0.0349,35533.05
MCK,buy,BUY,29,0.0,0.0239,24358.76
