ticker,weight,last_close,stop_reference_price,stop_price,Stop,unrealized_pnl,P&L,Drift,entry_date
NEM,0.014222252579238197,114.07,118.56,112.41394384164028,🔴 RISK — 1.5% away,2245.8399999999983,🟢 +17.2%,🟢 ON TARGET (0.5%),2026-04-13
ADBE,0.008518857027244479,247.45,248.6191,236.188145,🟢 CLEAR — 4.6% away,418.09999999999854,🟢 +4.8%,🔴 UNDERWEIGHT ▼3.1%,2026-04-14
CTVA,0.032300207594932455,80.92,84.21,79.99949999999998,🔴 RISK — 1.1% away,-875.0599999999977,🟡 -2.5%,🟢 ON TARGET (0.9%),2026-04-13
ABBV,0.04288476172448598,203.94,210.3125,199.796875,🟡 WATCH — 2.0% away,-967.0601020000031,🟡 -2.1%,🟢 ON TARGET (0.7%),2026-04-13
EQT,0.03431751209223945,57.81,58.39,55.4705,🟢 CLEAR — 4.0% away,-1280.5002160000004,🟡 -3.4%,🟢 ON TARGET (1.2%),2026-04-13
CL,0.0049256898230010185,84.03,85.83,81.5385,🟡 WATCH — 3.0% away,-52.289999999999964,🟡 -1.0%,🟢 ON TARGET (0.3%),2026-04-13
MCK,0.006417560981128898,862.16,867.34,823.973,🟢 CLEAR — 4.4% away,-182.5600000000004,🟡 -2.6%,🟢 ON TARGET (0.8%),2026-04-13
KR,0.04991578573829992,68.08,68.315,64.89925,🟢 CLEAR — 4.7% away,-87.30005200000596,🟡 -0.2%,🟢 ON TARGET (0.4%),2026-04-13
BR,0.009688569839748275,162.7,162.7,154.56499999999997,🟢 CLEAR — 5.0% away,305.27999999999884,🟢 +3.0%,🟡 DRIFTING ▼2.9%,2026-04-14
UPS,0.018616423932571482,107.57,107.57,102.19149999999999,🟢 CLEAR — 5.0% away,1820.9399999999987,🟢 +10.0%,🟡 DRIFTING ▲1.9%,2026-04-13
APA,0.029628891137311326,36.186,37.9,34.99235923303246,🟡 WATCH — 3.3% away,-681.119999999999,🟡 -2.1%,🟡 DRIFTING ▲3.0%,2026-04-14
DECK,0.014678004661185944,109.55,112.36,106.74199999999999,🟡 WATCH — 2.6% away,2198.879999999999,🟢 +16.2%,🟢 ON TARGET (1.5%),2026-04-13
T,0.050414282605361946,26.15,26.57,25.2415,🟢 CLEAR — 3.5% away,-1665.1100000000079,🟡 -3.0%,🟢 ON TARGET (0.0%),2026-04-13
APTV,0.031056440419188654,61.02,61.02,57.721905319819825,🟢 CLEAR — 5.4% away,210.10981100000208,🟢 +0.6%,🟢 ON TARGET (0.0%),2026-04-13
ACGL,0.050271139308142726,98.4134,98.4134,93.49273,🟢 CLEAR — 5.0% away,1359.8666020000019,🟢 +2.6%,🟢 ON TARGET (0.6%),2026-04-13
ARE,0.03489314310570928,48.64,48.64,45.94085732303863,🟢 CLEAR — 5.5% away,4965.370298999998,🟢 +15.3%,🟢 ON TARGET (1.4%),2026-04-13
CRH,0.025190207147498565,117.2,118.6474,112.71503,🟢 CLEAR — 3.8% away,3239.580036000003,🟢 +13.6%,🟢 ON TARGET (1.3%),2026-04-13
CNC,0.016897681617403626,38.64,39,37.05,🟢 CLEAR — 4.1% away,3214.7999999999993,🟢 +21.5%,🟢 ON TARGET (0.7%),2026-04-13
CMCSA,0.018238475919654135,29.79,29.876,28.3822,🟢 CLEAR — 4.7% away,1223.880000000001,🟢 +6.7%,🟢 ON TARGET (0.5%),2026-04-13
GDDY,0.03999982369058298,86.325,86.325,82.00874999999999,🟢 CLEAR — 5.0% away,2872.149965999997,🟢 +7.2%,🟢 ON TARGET (0.0%),2026-04-13
KHC,0.0498736591428946,22.4463,22.59,21.4605,🟢 CLEAR — 4.4% away,1741.5735750000022,🟢 +3.4%,🟢 ON TARGET (0.9%),2026-04-13
IBKR,0.004765662056527225,81.3,81.9927,77.89306499999999,🟢 CLEAR — 4.2% away,1025.6400000000003,🟢 +25.0%,🟢 ON TARGET (0.7%),2026-04-13
DG,0.01833243256747391,126.3,126.65,120.3175,🟢 CLEAR — 4.7% away,964.6599959999985,🟢 +5.1%,🟢 ON TARGET (0.4%),2026-04-13
DELL,0.006789665780060226,202.7,202.7,187.13063206607455,🟢 CLEAR — 7.7% away,1074.6000000000004,🟢 +17.3%,🟢 ON TARGET (0.2%),2026-04-13
NI,0.021928800513136466,48,48.525,46.098749999999995,🟢 CLEAR — 4.0% away,982.593619000003,🟢 +4.4%,🟢 ON TARGET (1.1%),2026-04-13
MU,0.01995885582345501,456.4,459.72,415.5835113858132,🟢 CLEAR — 8.9% away,4444.790000000001,🟢 +26.1%,🟢 ON TARGET (0.2%),2026-04-13
MTCH,0.007147739421840412,35.565,35.565,33.78675,🟢 CLEAR — 5.0% away,987.0599519999996,🟢 +14.7%,🟢 ON TARGET (0.7%),2026-04-13
MET,0.047622231203978745,78.26,78.26,74.34700000000001,🟢 CLEAR — 5.0% away,6311.0999999999985,🟢 +14.1%,🟢 ON TARGET (0.2%),2026-04-13
LULU,0.019267812029280434,165.6648,167.1347,158.777965,🟢 CLEAR — 4.2% away,2340.600000000002,🟢 +12.7%,🟢 ON TARGET (0.9%),2026-04-13
NSC,0.00028380527548018005,305.02,305.02,289.76899999999995,🟢 CLEAR — 5.0% away,19.099999999999966,🟢 +6.7%,🟢 ON TARGET (0.0%),2026-04-13
PFG,0.05025536207211162,96.45,96.7835,91.94432499999999,🟢 CLEAR — 4.7% away,3395.800000000003,🟢 +6.7%,🟢 ON TARGET (0.0%),2026-04-13
SPG,0.00019182582984516203,206.165,206.165,195.85674999999998,🟢 CLEAR — 5.0% away,21.504999999999995,🟢 +11.6%,🟢 ON TARGET (0.0%),2026-04-13
TRV,0.03502439327591395,301.14001,304.97,289.7215,🟢 CLEAR — 3.8% away,1223.5212500000052,🟢 +3.4%,🟢 ON TARGET (0.2%),2026-04-13
TPR,0.02019981396453134,153.97,156.79,148.95049999999998,🟢 CLEAR — 3.3% away,2272.920000000002,🟢 +11.7%,🟢 ON TARGET (0.4%),2026-04-13
TGT,0.00011992545392643239,128.89,128.89,122.44549999999998,🟢 CLEAR — 5.0% away,13.829999999999984,🟢 +12.0%,🟢 ON TARGET (0.0%),2026-04-13
TEL,0.010412272361774649,248.68,248.68,234.4037667577543,🟢 CLEAR — 5.7% away,2178.9000000000015,🟢 +24.2%,🟢 ON TARGET (1.0%),2026-04-13
VZ,0.021286791333143925,46.5,46.825,44.48375,🟢 CLEAR — 4.3% away,32.35994600000049,🟢 +0.1%,🟢 ON TARGET (0.8%),2026-04-13
ULTA,0.004687197369355094,559.73,559.73,530.8810492198666,🟢 CLEAR — 5.2% away,382.47000299999945,🟢 +8.2%,🟢 ON TARGET (1.0%),2026-04-13
