ticker,trade_type,direction,shares,current_weight,target_weight,trade_value_usd
SYF,buy,BUY,691,0.0,0.05,50000.0
CNC,buy,BUY,847,0.0,0.05,50000.0
INTU,buy,BUY,158,0.0,0.05,50000.0
CHTR,buy,BUY,346,0.0,0.05,50000.0
ALL,buy,BUY,230,0.0,0.05,50000.0
EXE,buy,BUY,516,0.0,0.05,50000.0
CMCSA,buy,BUY,1983,0.0,0.05,50000.0
EG,buy,BUY,141,0.0,0.05,50000.0
COF,buy,BUY,265,0.0,0.05,50000.0
UAL,buy,BUY,481,0.0,0.05,50000.0
EQT,buy,BUY,867,0.0,0.05,50000.0
APA,buy,BUY,1300,0.0,0.05,50000.0
MET,buy,BUY,595,0.0,0.05,50000.0
CAG,buy,BUY,3696,0.0,0.05,50000.0
PRU,buy,BUY,486,0.0,0.05,50000.0
NEM,buy,BUY,448,0.0,0.05,50000.0
LULU,buy,BUY,389,0.0,0.05,50000.0
KHC,buy,BUY,2097,0.0,0.05,50000.0
UHS,buy,BUY,316,0.0,0.05,50000.0
BBY,buy,BUY,477,0.0,0.03,29999.96
